FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_598,5179748,POINT (16.36798130128691 48.2349676008321),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_599,5179749,POINT (16.37272658583439 48.235436803953284),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_59a,5179750,POINT (16.363300164019602 48.23070766230279),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_59b,5179751,POINT (16.36480540775468 48.234860220944036),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_59c,5179752,POINT (16.40481416597896 48.14645856453091),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_59d,5179753,POINT (16.280493372634577 48.13599906835934),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_59e,5179754,POINT (16.438022978292157 48.269921945737714),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_59f,5179755,POINT (16.388827215425255 48.26680933243355),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a0,5179756,POINT (16.45592556487595 48.27674513670837),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a1,5179757,POINT (16.44507909582276 48.27165455590254),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a2,5179759,POINT (16.398773780284532 48.252479487153124),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a3,5179760,POINT (16.347977690992767 48.23165012878934),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a4,5179761,POINT (16.370801100548796 48.235322537204496),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a5,5179762,POINT (16.359289020511454 48.211855081893574),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a6,5179763,POINT (16.359772303752155 48.210946430005336),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a7,5179764,POINT (16.359526882757315 48.210107116028745),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a8,5179765,POINT (16.35940921813182 48.21021858160767),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5a9,5179766,POINT (16.279043480458615 48.20636490729509),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5aa,5179767,POINT (16.362024018355864 48.2522158331902),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5ab,5179768,POINT (16.280972661181302 48.13582571324374),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5ac,5179769,POINT (16.399032243983996 48.194226374736246),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5ad,5179770,POINT (16.401065059107154 48.197607036740635),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5ae,5179771,POINT (16.27789039844967 48.139335397705835),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5af,5179772,POINT (16.401767244216412 48.19739110031397),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b0,5179773,POINT (16.215157976197833 48.205535854535434),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b1,5179774,POINT (16.338954866188562 48.225810664117574),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b2,5179775,POINT (16.347430128201307 48.187132377187325),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b3,5179776,POINT (16.337202806275982 48.250677292667916),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b4,5179777,POINT (16.41230115316566 48.27771407074312),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b5,5179778,POINT (16.345822503683706 48.18186362474565),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b6,5179779,POINT (16.267759968873325 48.19662902427323),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b7,5179780,POINT (16.267993022391146 48.196512532414076),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b8,5179781,POINT (16.503580012328616 48.22433800751547),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5b9,5179782,POINT (16.329262301430088 48.2164116074223),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5ba,5179783,POINT (16.383735373879578 48.18001763628347),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5bb,5179784,POINT (16.316923268327283 48.22135612399049),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5bc,5179785,POINT (16.433506805524647 48.25216045724454),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5bd,5179786,POINT (16.457214539549124 48.214733242595386),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5be,5179787,POINT (16.381941992098934 48.181865833474816),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5bf,5179788,POINT (16.307090842227485 48.247694052883325),Trinkbrunnen,4,
